Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Beam Solar Incident Angle Cosine Value [](TimeStep),ZN001:WALL001:WIN001:Surface Window Total Glazing Layers Absorbed Solar Radiation Rate [W](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:WIN001:Surface Window Heat Gain Rate [W](TimeStep),ZN001:WALL001:WIN001:Surface Window Heat Loss Rate [W](TimeStep),ZN001:WALL001:WIN001:Surface Window Shading Device Absorbed Solar Radiation Rate [W](TimeStep),ZN001:WALL001:WIN001:Surface Window System Solar Transmittance [](TimeStep),ZN001:WALL001:WIN001:Surface Window System Solar Reflectance [](TimeStep),ZN001:WALL001:WIN001:Surface Window System Solar Absorptance [](TimeStep),ZN001:WALL001:WIN001:Surface Shading Device Is On Time Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Window Blind Slat Angle [deg](TimeStep),WEST ZONE:Zone Mean Radiant Temperature [C](TimeStep),EAST ZONE:Zone Mean Radiant Temperature [C](TimeStep),NORTH ZONE:Zone Mean Radiant Temperature [C](TimeStep),WEST ZONE:Zone Mean Air Temperature [C](TimeStep),EAST ZONE:Zone Mean Air Temperature [C](TimeStep),NORTH ZONE:Zone Mean Air Temperature [C](TimeStep),WEST ZONE:Zone Air System Sensible Heating Rate [W](TimeStep),WEST ZONE:Zone Air System Sensible Cooling Rate [W](TimeStep),WEST ZONE:Zone Air Temperature [C](TimeStep),WEST ZONE:Zone Air Humidity Ratio [](TimeStep),EAST ZONE:Zone Air System Sensible Heating Rate [W](TimeStep),EAST ZONE:Zone Air System Sensible Cooling Rate [W](TimeStep),EAST ZONE:Zone Air Temperature [C](TimeStep),EAST ZONE:Zone Air Humidity Ratio [](TimeStep),NORTH ZONE:Zone Air System Sensible Heating Rate [W](TimeStep),NORTH ZONE:Zone Air System Sensible Cooling Rate [W](TimeStep),NORTH ZONE:Zone Air Temperature [C](TimeStep),NORTH ZONE:Zone Air Humidity Ratio [](TimeStep),WEST ZONE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),EAST ZONE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),NORTH ZONE:Zone Thermal Comfort Fanger Model PMV [](TimeStep) 
 01/21  00:10:00,-17.3,0.0,0.0,0.0,0.0,0.0,1144.6807193349444,0.0,0.0,0.0,0.0,0.0,0.0,5.964252997973705,6.107363401981166,5.708767385460164,14.999999999999649,14.999999999999373,14.999999999999642,3527.070190226296,0.0,14.999999999999649,0.013344152763468299,3594.9524837441097,0.0,14.999999999999373,0.013344152763468299,5228.682994405126,0.0,14.999999999999642,0.013344152763468299,-1.8613773345619727,-1.85032911797958,-1.8810615506039524 
 01/21  00:20:00,-17.3,0.0,0.0,0.0,0.0,0.0,1144.0067615788726,0.0,0.0,0.0,0.0,0.0,0.0,5.9403849856640769,6.0824317948946249,5.684733486101866,14.999999999999643,15.000000000000231,14.999999999999642,3538.4667211465277,0.0,14.999999999999643,0.013344152763468299,3607.266502380916,0.0,15.000000000000231,0.013344153182053741,5245.197189629678,0.0,14.999999999999642,0.013344152763468299,-1.8632184165077024,-1.8522549962071145,-1.8829106733614796 
 01/21  00:30:00,-17.3,0.0,0.0,0.0,0.0,0.0,1143.346824900802,0.0,0.0,0.0,0.0,0.0,0.0,5.917007811987869,6.058027577041951,5.661219636713178,14.999999999999645,15.00000000000034,14.999999999999642,3549.6080633509129,0.0,14.999999999999645,0.013344152763468299,3619.2977459134519,0.0,15.00000000000034,0.013344153182053741,5261.319550420632,0.0,14.999999999999642,0.013344152763468299,-1.8650212093670898,-1.8541396576068965,-1.88471935203109 
 01/21  00:40:00,-17.3,0.0,0.0,0.0,0.0,0.0,1142.7004633340917,0.0,0.0,0.0,0.0,0.0,0.0,5.8941064068495419,6.034134576419396,5.638209375926509,14.999999999999332,15.000000000000043,14.999999999999643,3560.5026458972827,0.0,14.999999999999332,0.013344152763468299,3631.0554353702466,0.0,15.000000000000043,0.013344153182053741,5277.063328096573,0.0,14.999999999999643,0.013344152763468299,-1.8667869016252779,-1.8559844030032476,-1.8864888808053162 
 01/21  00:50:00,-17.3,0.0,0.0,0.0,0.0,0.0,1142.0672514191707,0.0,0.0,0.0,0.0,0.0,0.0,5.871666367950875,6.0107373238089709,5.615686968058491,14.999999999999919,15.000000000000318,14.999999999999638,3571.158523110205,0.0,14.999999999999919,0.013344152763468299,3642.548392578716,0.0,15.000000000000318,0.013344153182053741,5292.441190924061,0.0,14.999999999999638,0.013344152763468299,-1.8685166286849338,-1.8577904436082343,-1.888220496309267 
 01/21  01:00:00,-17.3,0.0,0.0,0.0,0.0,0.0,1141.4467829719977,0.0,0.0,0.0,0.0,0.0,0.0,5.849673921027832,5.987821010698834,5.593637360576567,14.999999999999674,15.000000000000354,14.99999999999964,3581.5833954766596,0.0,14.999999999999674,0.013344152763468299,3653.785062714309,0.0,15.000000000000354,0.013344153182053741,5307.465256416065,0.0,14.99999999999964,0.013344152763468299,-1.8702114760423499,-1.8595589491200975,-1.889915380995015 
 01/21  01:10:00,-17.3,0.0,0.0,0.0,0.0,0.0,1140.838669955503,0.0,0.0,0.0,0.0,0.0,0.0,5.828242250984502,5.965521455478398,5.5721875945321319,14.999999999999329,15.000000000000047,14.999999999999638,3591.739836107986,0.0,14.999999999999329,0.013344152763468299,3664.7179057917589,0.0,15.000000000000047,0.013344153182053741,5322.074223532718,0.0,14.999999999999638,0.013344152763468299,-1.8718627468638,-1.861279467347859,-1.8915637970363629 
 01/21  01:20:00,-17.3,0.0,0.0,0.0,0.0,0.0,1140.2465977701796,0.0,0.0,0.0,0.0,0.0,0.0,5.807161123691182,5.943588829865323,5.551099563182308,14.999999999999917,15.000000000000318,14.999999999999634,3601.688248584808,0.0,14.999999999999917,0.013344152763468299,3675.421688186807,0.0,15.000000000000318,0.013344153182053741,5336.367609070496,0.0,14.999999999999634,0.013344152763468299,-1.8734866621010536,-1.8629712993849986,-1.8931840670034633 
 01/21  01:30:00,-17.3,0.0,0.0,0.0,0.0,0.0,1139.6632852356602,0.0,0.0,0.0,0.0,0.0,0.0,5.786475291990243,5.922079099340523,5.530427093238183,14.999999999999674,15.000000000000357,14.999999999999633,3611.4403471432526,0.0,14.999999999999674,0.013344152763468299,3685.9095255530758,0.0,15.000000000000357,0.013344153182053741,5350.362940843185,0.0,14.999999999999633,0.013344152763468299,-1.8750797926503,-1.8646301483414234,-1.894772074225234 
 01/21  01:40:00,-17.3,0.0,0.0,0.0,0.0,0.0,1139.0910223833308,0.0,0.0,0.0,0.0,0.0,0.0,5.766179980584175,5.9009880610042269,5.510165241698254,14.999999999999329,15.000000000000045,14.999999999999638,3620.9937843446234,0.0,14.999999999999329,0.013344152763468299,3696.1773728900559,0.0,15.000000000000045,0.013344153182053741,5364.055539702721,0.0,14.999999999999638,0.013344152763468299,-1.876642525196173,-1.866256359425535,-1.8963282182516055 
